32MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000393,0.018027,0.000129,0.045011,0.004096,0.012785,0.031825,0.012544,0.012756,0.027912,0.010560,0.012373,0.018711,0.001888,0.005726,0.028526,0.008704,0.013232,0.041510,0.011808,0.012556,-1.000000,-1.000000,-1.000000,
0.000372,0.017966,0.000137,0.050341,0.004096,0.012632,0.036353,0.014112,0.012941,0.028873,0.010240,0.012265,0.018669,0.002048,0.006277,0.028213,0.007808,0.012229,0.042695,0.010816,0.012757,-1.000000,-1.000000,-1.000000,
0.000379,0.018090,0.000131,0.045135,0.002304,0.012957,0.029550,0.014336,0.012247,0.029097,0.010240,0.012091,0.019337,0.001888,0.005847,0.028925,0.008704,0.012181,0.041793,0.011424,0.012244,-1.000000,-1.000000,-1.000000,
0.000347,0.017885,0.000151,0.045775,0.002752,0.005850,0.027783,0.012288,0.012255,0.028449,0.010816,0.012412,0.017884,0.001888,0.005843,0.028795,0.009344,0.013039,0.046500,0.010240,0.013572,-1.000000,-1.000000,-1.000000,
0.000383,0.018077,0.000179,0.018219,0.002048,0.006439,0.028191,0.012704,0.012090,0.028542,0.010688,0.011889,0.018658,0.001888,0.005730,0.028327,0.006976,0.012241,0.041910,0.011520,0.012926,-1.000000,-1.000000,-1.000000,
0.000386,0.018073,0.000174,0.019029,0.001856,0.005989,0.027966,0.012704,0.012877,0.029171,0.010400,0.013124,0.018421,0.002048,0.005816,0.028887,0.009248,0.012786,0.042631,0.010592,0.013209,-1.000000,-1.000000,-1.000000,
0.000386,0.018184,0.000120,0.019078,0.001888,0.005826,0.028181,0.012704,0.012193,0.028346,0.010400,0.012619,0.019102,0.003200,0.006338,0.028662,0.015648,0.013621,0.045837,0.012096,0.012761,-1.000000,-1.000000,-1.000000,
0.000393,0.018119,0.000134,0.018197,0.002048,0.005862,0.027672,0.012288,0.012072,0.028678,0.010240,0.011954,0.017837,0.002048,0.005813,0.028559,0.008160,0.012654,0.041875,0.012288,0.012116,-1.000000,-1.000000,-1.000000,
0.000378,0.017888,0.000124,0.019320,0.001024,0.005867,0.027649,0.012256,0.012612,0.028535,0.010624,0.011932,0.018141,0.002048,0.006267,0.028430,0.008192,0.012376,0.043019,0.010720,0.012121,-1.000000,-1.000000,-1.000000,
0.000379,0.018065,0.000129,0.018978,0.002048,0.006336,0.031850,0.012448,0.012191,0.031080,0.010528,0.011965,0.018933,0.002048,0.005996,0.028851,0.008192,0.012347,0.046435,0.010464,0.012492,-1.000000,-1.000000,-1.000000,
0.000377,0.018186,0.000117,0.018509,0.001888,0.005846,0.028133,0.012160,0.012148,0.028181,0.010464,0.012976,0.018053,0.001888,0.005838,0.028608,0.008192,0.012502,0.041512,0.010656,0.012183,-1.000000,-1.000000,-1.000000,
0.000390,0.018018,0.000142,0.019392,0.001888,0.005813,0.027636,0.013088,0.012404,0.029144,0.010240,0.012061,0.018885,0.002048,0.005807,0.028341,0.008160,0.012124,0.041748,0.011712,0.012281,-1.000000,-1.000000,-1.000000,
0.000394,0.018076,0.000126,0.018641,0.001856,0.005803,0.028316,0.010976,0.012428,0.028700,0.010208,0.011915,0.019132,0.003168,0.006388,0.029103,0.008832,0.012436,0.045638,0.010240,0.012565,-1.000000,-1.000000,-1.000000,
0.000415,0.018256,0.000119,0.018238,0.002048,0.005859,0.027441,0.012448,0.012260,0.029088,0.010240,0.012386,0.018447,0.002048,0.006386,0.027964,0.008736,0.012912,0.041942,0.011744,0.012325,-1.000000,-1.000000,-1.000000,
0.000375,0.017962,0.000133,0.020060,0.002240,0.006317,0.027947,0.012960,0.012787,0.028808,0.011584,0.012378,0.018760,0.000960,0.006247,0.028295,0.009920,0.012288,0.041380,0.010976,0.012250,-1.000000,-1.000000,-1.000000,
0.000395,0.017987,0.000190,0.018520,0.001888,0.005828,0.028683,0.013728,0.012189,0.028894,0.012160,0.012093,0.018907,0.001888,0.006007,0.028460,0.008160,0.012141,0.042037,0.011360,0.012613,-1.000000,-1.000000,-1.000000,
0.000423,0.018093,0.000139,0.018507,0.001888,0.006192,0.029367,0.012480,0.012745,0.028881,0.011776,0.029723,0.019607,0.001856,0.005784,0.028961,0.038848,0.013417,0.045982,0.010400,0.012735,-1.000000,-1.000000,-1.000000,
