MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000841,0.017604,0.000176,0.074701,0.003249,0.016497,0.073260,0.003096,0.016764,0.067720,0.000389,0.008592,0.066155,0.000395,0.008574,
0.000806,0.017459,0.000209,0.073187,0.003285,0.016554,0.071674,0.003150,0.016996,0.065104,0.000400,0.008394,0.066612,0.000396,0.008802,
0.000789,0.017296,0.000160,0.075144,0.003306,0.016958,0.072345,0.003093,0.016200,0.066128,0.000409,0.008717,0.067163,0.000397,0.008422,
0.000792,0.017289,0.000171,0.073327,0.003333,0.016626,0.071978,0.003090,0.016347,0.068405,0.000396,0.008947,0.066134,0.000384,0.008767,
0.000791,0.017298,0.000188,1.198505,0.003230,0.014930,0.072272,0.003082,0.017546,0.066899,0.000405,0.008449,0.066953,0.000385,0.008317,
0.000846,0.017337,0.000205,0.073980,0.003250,0.014330,0.073061,0.003167,0.016330,0.064960,0.000410,0.007929,0.066900,0.000389,0.008403,
0.000811,0.017302,0.000154,0.073081,0.003313,0.014941,0.072152,0.003023,0.016247,0.065673,0.000405,0.008087,0.066997,0.000397,0.008311,
0.000816,0.017263,0.000215,0.073200,0.003244,0.014825,0.072164,0.003064,0.016674,0.065025,0.000409,0.008256,0.065692,0.000385,0.008763,
0.000788,0.017197,0.000179,0.072378,0.003197,0.014628,0.072070,0.003012,0.016687,0.065574,0.000410,0.008248,0.067299,0.000381,0.008302,
0.000803,0.017409,0.000193,0.073227,0.003204,0.015630,0.075707,0.003283,0.016595,0.064889,0.000397,0.007915,0.066306,0.000386,0.008427,
0.000772,0.017384,0.000174,0.074515,0.003304,0.014957,0.072639,0.003242,0.015960,0.065264,0.000401,0.008003,0.066751,0.000394,0.008634,
0.000781,0.017411,0.000195,0.073607,0.003262,0.014782,0.071734,0.003019,0.015910,0.064238,0.000409,0.008684,0.066847,0.000386,0.008294,
0.000769,0.017297,0.000165,0.072841,0.003220,0.014932,0.073519,0.003021,0.017539,0.066013,0.000413,0.008070,0.065125,0.000383,0.008761,
0.000829,0.017479,0.000160,0.072701,0.003288,0.014512,0.071282,0.002995,0.016735,0.064525,0.000412,0.008675,0.065173,0.000386,0.008911,
0.000809,0.017345,0.000177,0.072408,0.003307,0.015270,0.072129,0.003101,0.010050,1.409105,0.005865,0.282778,0.065674,0.000396,0.008319,
0.000778,0.017521,0.000165,0.071871,0.003174,0.015060,0.071721,0.003138,0.016756,1.523241,0.001112,0.009409,0.065225,0.000382,0.008861,
0.000790,0.017263,0.000201,0.232782,0.003084,0.015664,0.073038,0.002987,0.016710,0.085721,0.000452,0.008859,0.065880,0.000385,0.008018,
0.000776,0.017306,0.000174,0.230885,0.003281,0.015518,0.073326,0.003075,0.016848,0.072963,0.000400,0.008181,0.065851,0.000381,0.008424,
0.000777,0.017133,0.000185,0.370638,0.003201,0.017603,0.072111,0.003116,0.016016,0.070487,0.000423,0.008261,0.070243,0.000403,0.009485,
0.000781,0.017286,0.000153,0.111029,0.005941,0.016536,0.082831,0.003348,0.016549,0.072194,0.000405,0.008705,0.075060,0.000370,0.008447,
0.000773,0.023015,0.000225,0.081380,0.004081,0.016897,0.072254,0.002773,0.016857,0.068282,0.000405,0.008577,0.066507,0.000354,0.008355,
0.000798,0.017279,0.000167,0.076898,0.003469,0.017012,0.065350,0.002515,0.016769,0.068467,0.000406,0.008668,0.065818,0.000358,0.008436,
0.000768,0.017472,0.000193,0.075829,0.003268,0.017022,0.065337,0.002444,0.016465,0.068389,0.000403,0.008575,0.065753,0.000362,0.008303,
