Performing comparisons between CPU Cuda and Tensor implementation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Matrixes size,32,32,,,,,,,,,,,,,,,
Single run computation test,,,,,,,,,,,,,,,,,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),,,,,,,,,,,
MMA CPU,0.004177,0.411205,0.000354,,,,,,,,,,,,,,
MMA Tensor,68.240242,0.015621,0.010845,False,1,0,,,,,,,,,,,
MMA CUDA,0.080122,0.030367,0.008654,True,0,0,,,,,,,,,,,
MMA CUDA Shared,0.071819,0.017295,0.007991,False,0,0,,,,,,,,,,,
MMA CUDA Shared Half,0.081242,0.016787,0.008548,False,0.00005,0.000039,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Multi run computation  test, execution count :150,,,,,,,,,,,,,,,,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing
0.000298,0.017816,0.000151,0.048567,0.002784,0.012889,0.028238,0.012512,0.012119,0.032062,0.01088,0.012243,0.050817,0.010336,0.012942,-1,-1,-1
0.0003,0.017782,0.000137,0.043744,0.004096,0.012624,0.028208,0.012288,0.012169,0.031354,0.010912,0.012274,0.04266,0.01152,0.012944,-1,-1,-1
0.000324,0.017788,0.000149,0.045155,0.002432,0.012708,0.028567,0.012288,0.012912,0.032533,0.010688,0.012581,0.042508,0.012064,0.012777,-1,-1,-1
0.000353,0.017775,0.000173,0.053688,0.002624,0.01309,0.029068,0.012288,0.011985,0.032896,0.010688,0.012851,0.034818,0.00752,0.005641,-1,-1,-1
0.000301,0.017742,0.00017,0.044141,0.00368,0.012721,0.028509,0.012544,0.012109,0.031834,0.01072,0.012375,0.018888,0.008192,0.006243,-1,-1,-1
0.000265,0.01766,0.000194,0.044135,0.00384,0.012257,0.027986,0.012288,0.01251,0.031285,0.011456,0.012625,0.01755,0.008192,0.005661,-1,-1,-1
0.000358,0.017802,0.000139,0.047,0.004096,0.013125,0.028644,0.012288,0.012006,0.032757,0.011264,0.012447,0.018,0.00688,0.005367,-1,-1,-1
0.000354,0.01776,0.000141,0.044056,0.002912,0.013364,0.028079,0.01232,0.012153,0.032386,0.01024,0.012349,0.024445,0.007136,0.005758,-1,-1,-1
0.000359,0.0179,0.000146,0.044632,0.003488,0.012634,0.028722,0.01232,0.011901,0.031778,0.011104,0.012228,0.017553,0.008192,0.005606,-1,-1,-1
0.000283,0.017827,0.000188,0.044489,0.004096,0.012862,0.029038,0.01232,0.012255,0.0313,0.011584,0.012426,0.017444,0.007008,0.00573,-1,-1,-1
