MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Rect Tiling 32*64 Loading,MMA CUDA Shared Half Rect Tiling 32*64 Computing,MMA CUDA Shared Half Rect Tiling 32*64 Outputing,MMA CUDA Shared Half Rect Tiling 32*96 Loading,MMA CUDA Shared Half Rect Tiling 32*96 Computing,MMA CUDA Shared Half Rect Tiling 32*96 Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Cublas Loading,MMA Cublas Computing,MMA Cublas Outputing,
0.000514,0.025625,0.000179,0.016346,0.009184,0.006129,0.030125,0.010240,0.013823,0.042740,0.002464,0.013857,0.019635,0.002048,0.006218,0.029680,0.009696,0.012873,0.044848,0.010848,0.013840,0.043928,0.003744,0.012705,0.036493,0.003104,0.012286,
0.000481,0.025574,0.000180,0.015955,0.009728,0.006368,0.030589,0.010688,0.013007,0.044188,0.004000,0.012879,0.019185,0.002208,0.006293,0.030283,0.008768,0.013242,0.044871,0.010336,0.013248,0.043708,0.002816,0.012625,0.037343,0.003968,0.012308,
0.000501,0.031133,0.000126,0.015925,0.008608,0.006298,0.029375,0.011360,0.013178,0.042645,0.002688,0.013488,0.019007,0.001920,0.006153,0.031574,0.008448,0.012830,0.045191,0.010240,0.013252,0.042885,0.003392,0.013261,0.036176,0.003904,0.012750,
0.000371,0.018425,0.000133,0.016649,0.008512,0.006090,0.030083,0.010240,0.013043,0.044880,0.002976,0.013133,0.019946,0.001920,0.006377,0.030056,0.009536,0.012833,0.044024,0.011360,0.013411,0.043065,0.003392,0.012708,0.035978,0.003392,0.012829,
0.000382,0.018239,0.000145,0.016875,0.008800,0.006609,0.030063,0.012128,0.012944,0.043795,0.002048,0.013722,0.019461,0.002048,0.006287,0.029442,0.009792,0.012873,0.043171,0.010560,0.013231,0.043426,0.003776,0.012835,0.036535,0.003648,0.012867,
0.000380,0.018288,0.000124,0.015845,0.009472,0.009900,0.029865,0.010592,0.013402,0.043281,0.003296,0.013053,0.019248,0.001888,0.006196,0.029857,0.008192,0.013431,0.046287,0.010240,0.012976,0.045171,0.002080,0.012704,0.035797,0.002688,0.012774,
0.000380,0.018471,0.000134,0.015798,0.009632,0.005938,0.030328,0.010400,0.013472,0.046011,0.003648,0.012861,0.019713,0.002048,0.006386,0.029548,0.008160,0.012893,0.044591,0.010272,0.014398,0.050342,0.003424,0.012833,0.036771,0.003072,0.012922,
0.000365,0.018469,0.000141,0.019796,0.010144,0.006345,0.030208,0.010240,0.013194,0.044407,0.004096,0.013036,0.019773,0.002176,0.006262,0.029597,0.008192,0.012769,0.043750,0.010592,0.013525,0.043649,0.003616,0.013244,0.036817,0.003808,0.012259,
0.000394,0.018391,0.000189,0.015579,0.009120,0.005946,0.030771,0.010464,0.013487,0.044529,0.002208,0.013811,0.019464,0.001920,0.006142,0.029772,0.008192,0.012994,0.044738,0.011680,0.014263,0.044017,0.002688,0.012931,0.036369,0.004000,0.012638,
0.000366,0.018233,0.000156,0.015418,0.010240,0.005918,0.029899,0.010400,0.013132,0.043125,0.003584,0.013262,0.019163,0.001920,0.006193,0.032468,0.008800,0.012796,0.045102,0.011744,0.013202,0.042857,0.003968,0.012690,0.036125,0.003744,0.012474,
