Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,2048,2048,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,20.458700,421.345553,12.751196,
MMA CUDA,46.341059,0.020713,51.021236,False,0.000249,0.000399,
MMA CUDA Shared,7.539091,0.017967,50.465132,False,0.000249,0.000400,
MMA Tensor,41.402158,0.012226,11.792808,False,11.019154,17.697787,
MMA Tensor Shared,42.852517,0.027289,9.755285,False,502.071072,39.831405,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
-1.000000,-1.000000,-1.000000,6.327515,0.008935,27.084091,6.275714,0.009254,27.427399,39.274284,0.006354,8.001610,40.468845,0.012586,7.786945,
-1.000000,-1.000000,-1.000000,6.492786,0.009692,27.744402,6.191269,0.008256,25.595581,39.325401,0.008999,8.080319,40.176716,0.009718,7.219156,
-1.000000,-1.000000,-1.000000,6.263687,0.010873,28.278481,6.540396,0.009556,25.448429,39.165913,0.007737,8.422836,40.952763,0.013123,6.736979,
-1.000000,-1.000000,-1.000000,6.487020,0.009065,27.665298,6.603135,0.012799,25.168327,38.990269,0.011200,8.415141,40.260529,0.010542,7.441117,
-1.000000,-1.000000,-1.000000,6.645028,0.010196,27.381985,6.562778,0.010340,24.350836,39.474644,0.006287,8.214156,40.194420,0.010059,7.169613,
-1.000000,-1.000000,-1.000000,6.657343,0.010395,28.882227,6.620395,0.023526,25.315346,40.452534,0.009660,9.369500,40.147831,0.010760,6.861634,
-1.000000,-1.000000,-1.000000,6.613861,0.013791,28.472589,6.466696,0.008973,24.431902,40.462444,0.010241,10.043961,39.952862,0.011185,7.497620,
-1.000000,-1.000000,-1.000000,6.560537,0.010965,27.693468,6.445235,0.009276,25.035934,40.835487,0.008910,9.485926,40.271332,0.011878,7.169963,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
-1.000000,-1.000000,-1.000000,6.619768,0.010510,41.757332,6.365860,0.009565,23.906693,39.233898,0.009282,6.250247,39.826672,0.010436,5.645833,
-1.000000,-1.000000,-1.000000,6.673107,0.010192,41.771275,6.376245,0.009147,24.532421,39.011307,0.009415,6.240600,39.692253,0.011014,5.537496,
-1.000000,-1.000000,-1.000000,6.652227,0.009142,34.201538,6.371709,0.011817,22.632648,39.223270,0.009971,6.231032,39.837830,0.011917,5.534755,
-1.000000,-1.000000,-1.000000,6.423886,0.005977,25.656473,6.391557,0.008306,23.541803,38.986298,0.009196,6.478337,39.655350,0.009272,6.344542,
-1.000000,-1.000000,-1.000000,6.456846,0.005740,26.864883,6.384313,0.008424,22.694950,39.231243,0.013505,6.216959,39.761211,0.010437,5.789900,
-1.000000,-1.000000,-1.000000,6.424037,0.009810,26.391647,6.394080,0.006366,23.607599,39.036766,0.007454,6.207344,39.850735,0.010452,5.740596,
-1.000000,-1.000000,-1.000000,6.413451,0.009836,26.100582,6.425737,0.006416,22.669327,39.143764,0.008487,6.254047,39.886539,0.020537,5.732988,
-1.000000,-1.000000,-1.000000,6.476121,0.010548,25.905376,6.360108,0.007725,26.232014,39.296394,0.006948,6.214055,40.274628,0.013799,6.475256,
-1.000000,-1.000000,-1.000000,6.401136,0.007576,24.940041,6.444075,0.013002,24.105091,39.019943,0.010365,6.209246,39.829929,0.011910,5.854955,
-1.000000,-1.000000,-1.000000,6.630790,0.007020,26.209480,6.437145,0.009997,23.301483,39.035892,0.009518,6.216321,39.774536,0.009269,5.842458,
-1.000000,-1.000000,-1.000000,6.400431,0.007863,25.656551,6.456912,0.008887,22.893005,39.037075,0.011370,7.079699,39.862862,0.010429,5.870871,
-1.000000,-1.000000,-1.000000,6.355014,0.008964,25.033533,6.454292,0.009452,22.959497,39.077175,0.013510,6.322944,39.770962,0.008989,5.852597,
-1.000000,-1.000000,-1.000000,6.726376,0.010785,28.229225,6.437285,0.007852,22.882868,39.156963,0.013435,6.202863,39.831673,0.012423,6.020456,
-1.000000,-1.000000,-1.000000,6.538520,0.010492,25.505913,6.398220,0.008161,22.974977,39.106853,0.014038,6.219590,39.674816,0.008720,6.011976,
-1.000000,-1.000000,-1.000000,6.411296,0.007795,24.769726,6.393912,0.007653,22.896114,39.810547,0.013555,6.227565,39.930946,0.013226,5.994209,
-1.000000,-1.000000,-1.000000,6.418018,0.006275,26.355133,6.373034,0.007325,22.864206,39.146767,0.014597,6.224682,39.740547,0.008712,5.992234,
-1.000000,-1.000000,-1.000000,6.383301,0.007982,25.692913,6.356811,0.008886,23.033428,39.098888,0.006789,6.220046,39.908840,0.013217,6.173412,
-1.000000,-1.000000,-1.000000,6.391599,0.006299,25.037441,6.383527,0.006547,22.865482,39.071266,0.006164,6.217092,39.701435,0.008828,6.170606,
-1.000000,-1.000000,-1.000000,6.398405,0.008022,26.390852,6.417393,0.007954,23.194202,39.229801,0.007497,6.231927,40.137440,0.011949,6.638321,
-1.000000,-1.000000,-1.000000,6.370982,0.008534,25.629210,6.375948,0.009254,22.757521,39.216164,0.013085,6.203856,39.829315,0.008055,6.176354,
-1.000000,-1.000000,-1.000000,6.401922,0.005480,25.110802,6.351763,0.007047,24.304819,39.152927,0.010342,6.223594,39.915310,0.008125,6.291439,
-1.000000,-1.000000,-1.000000,6.375119,0.008851,27.281075,6.391935,0.009216,23.047161,39.056351,0.008954,6.212912,39.899475,0.010141,6.273925,
-1.000000,-1.000000,-1.000000,6.834937,0.011711,27.781603,6.378786,0.007550,23.537533,39.122971,0.010208,6.224389,39.613506,0.008557,6.287124,
-1.000000,-1.000000,-1.000000,6.593492,0.014800,24.802753,6.368602,0.009773,23.135475,39.210373,0.011685,7.152143,39.816036,0.010311,6.298302,
-1.000000,-1.000000,-1.000000,6.616014,0.008182,26.335993,6.873453,0.014935,24.023518,39.101112,0.012093,6.205869,39.545036,0.008539,6.274437,
-1.000000,-1.000000,-1.000000,6.530238,0.009386,25.660917,6.473076,0.009498,22.619785,39.589558,0.012460,7.382460,39.825226,0.012257,6.438933,
-1.000000,-1.000000,-1.000000,6.395130,0.008360,25.043089,6.399941,0.006987,23.939030,39.068462,0.013187,6.216009,40.000340,0.011812,6.406211,
-1.000000,-1.000000,-1.000000,6.828733,0.013251,28.198318,6.376036,0.008599,22.766050,39.122879,0.007573,6.214515,39.853958,0.010594,6.390171,
-1.000000,-1.000000,-1.000000,6.496641,0.010761,25.618126,6.394195,0.007555,23.623589,38.975197,0.008620,6.241903,40.378429,0.014220,6.962685,
-1.000000,-1.000000,-1.000000,6.421030,0.009049,24.945797,6.371351,0.007149,22.731993,39.117477,0.009026,6.212521,40.072258,0.010850,6.594213,
-1.000000,-1.000000,-1.000000,6.401645,0.007896,26.347355,6.546334,0.008302,23.454630,39.169739,0.010043,6.220862,39.714470,0.009173,6.545070,
-1.000000,-1.000000,-1.000000,6.396157,0.005318,25.674704,6.410512,0.008376,22.885748,39.097393,0.009644,6.211649,39.856483,0.006486,6.546655,
-1.000000,-1.000000,-1.000000,6.385821,0.006444,25.072001,6.380635,0.007667,23.147749,39.128895,0.014153,6.228357,39.864086,0.008999,6.541877,
-1.000000,-1.000000,-1.000000,6.423536,0.006280,26.413015,6.348594,0.007973,23.483877,39.102951,0.008249,6.252485,39.827202,0.011547,6.714698,
-1.000000,-1.000000,-1.000000,6.390423,0.006631,25.647230,6.378442,0.011755,23.413261,39.001209,0.010060,6.243051,39.781239,0.006769,6.711250,
-1.000000,-1.000000,-1.000000,6.390238,0.005562,25.094048,6.429327,0.006423,23.029800,39.042191,0.010913,6.217145,39.723232,0.010571,6.693584,
-1.000000,-1.000000,-1.000000,6.415632,0.007385,26.432802,6.338825,0.008020,22.855272,39.867924,0.015499,6.203342,39.735081,0.010048,6.688192,
-1.000000,-1.000000,-1.000000,6.368093,0.008477,25.575691,6.342962,0.008784,23.229403,38.943272,0.008527,6.213219,40.057835,0.012460,6.705898,
-1.000000,-1.000000,-1.000000,6.405201,0.008947,25.922745,6.410101,0.006405,22.741831,39.111965,0.009864,6.202111,39.677643,0.010670,6.714098,
-1.000000,-1.000000,-1.000000,6.707613,0.009720,26.725136,6.346289,0.008069,23.299576,39.044106,0.006974,6.241465,40.287342,0.013594,6.726268,
-1.000000,-1.000000,-1.000000,6.491125,0.010830,25.143929,6.440003,0.011989,25.037191,38.920807,0.011198,6.205806,39.816124,0.009230,6.681270,
-1.000000,-1.000000,-1.000000,6.427362,0.009219,26.230551,6.425977,0.013654,23.476221,39.108631,0.013574,7.764619,39.808113,0.007758,6.694248,
-1.000000,-1.000000,-1.000000,6.477354,0.013139,28.047707,6.393180,0.009246,22.609856,38.941368,0.010685,7.769990,39.889084,0.007015,6.704657,
-1.000000,-1.000000,-1.000000,6.436925,0.011548,25.262449,6.400878,0.006714,23.960964,38.990978,0.009890,7.646858,39.702259,0.008121,6.706051,
-1.000000,-1.000000,-1.000000,6.421461,0.006004,25.455877,6.405582,0.007765,22.808477,38.971470,0.010053,7.625131,39.902748,0.008606,6.706589,
-1.000000,-1.000000,-1.000000,6.414688,0.006151,26.407940,6.426025,0.006801,23.984505,39.028698,0.014300,7.964654,39.743851,0.006897,6.686949,
-1.000000,-1.000000,-1.000000,6.386599,0.008501,25.256369,7.226329,0.011043,23.872162,39.028606,0.007742,7.959720,39.799591,0.010529,6.714702,
-1.000000,-1.000000,-1.000000,6.388998,0.014184,25.684526,6.497265,0.009763,23.293373,39.336430,0.012195,7.851193,39.828938,0.009204,6.697806,
-1.000000,-1.000000,-1.000000,6.443923,0.010008,26.294973,6.432641,0.006505,22.893265,39.094566,0.007452,7.820589,39.761089,0.007186,6.694654,
-1.000000,-1.000000,-1.000000,6.377882,0.009009,25.078140,6.366565,0.007617,22.970041,39.135658,0.008694,8.215146,40.143539,0.011077,7.552196,
